site,product_id,label,title,url,img_url,file_path,width,height,phash_hex,created_at
asos,209554532,polka_dot,ASOS DESIGN printed polka dot bandeau maxi dress with scarf detail in black,asos-design/asos-design-printed-polka-dot-bandeau-maxi-dress-with-scarf-detail-in-black/prd/209554532#colourWayId-209554538,https://images.asos-media.com/products/asos-design-printed-polka-dot-bandeau-maxi-dress-with-scarf-detail-in-black/209554532-1-black,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209554532.jpg,800,1021,a61b0d3e8d6619e6,2025-10-22T13:55:34
asos,209629942,polka_dot,ASOS DESIGN flute sleeve mesh mini polka dot dress with scarf in black,asos-design/asos-design-flute-sleeve-mesh-mini-polka-dot-dress-with-scarf-in-black/prd/209629942#colourWayId-209629952,https://images.asos-media.com/products/asos-design-flute-sleeve-mesh-mini-polka-dot-dress-with-scarf-in-black/209629942-1-black,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209629942.jpg,800,1021,a74f984c9e6349e4,2025-10-22T13:55:35
asos,209662887,polka_dot,ASOS DESIGN denim button up long sleeve top in brown micro polka dot,asos-design/asos-design-denim-button-up-long-sleeve-top-in-brown-micro-polka-dot/prd/209662887#colourWayId-209662909,https://images.asos-media.com/products/asos-design-denim-button-up-long-sleeve-top-in-brown-micro-polka-dot/209662887-1-brown,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209662887.jpg,800,1021,b6c9d8092dfe6cc0,2025-10-22T13:55:36
asos,209267062,polka_dot,ASOS DESIGN co-ord gathered short sleeve off shoulder mesh top and capri in black polka dot,asos-design/asos-design-co-ord-gathered-short-sleeve-off-shoulder-mesh-top-and-capri-in-black-polka-dot/grp/209267062#colourWayId-209034323,https://images.asos-media.com/products/asos-design-co-ord-gathered-short-sleeve-off-shoulder-mesh-top-and-capri-in-black-polka-dot/209034317-2,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209267062.jpg,800,1021,e6a3999b1989cccc,2025-10-22T13:55:37
asos,209034317,polka_dot,ASOS DESIGN co-ord gathered short sleeve off shoulder mesh top in black polka dot,asos-design/asos-design-co-ord-gathered-short-sleeve-off-shoulder-mesh-top-in-black-polka-dot/grp/209267062#colourWayId-209034323&productId-209034317,https://images.asos-media.com/products/asos-design-co-ord-gathered-short-sleeve-off-shoulder-mesh-top-in-black-polka-dot/209034317-1-blackpolkadot,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209034317.jpg,800,1021,b49fccc1c06c0fc7,2025-10-22T13:55:38
asos,208703007,polka_dot,Kaiia exclusive double layered slinky mesh one shoulder scarf detail top co-ord in mono polka dot,kaiia/kaiia-exclusive-double-layered-slinky-mesh-one-shoulder-scarf-detail-top-co-ord-in-mono-polka-dot/grp/208919969#colourWayId-208703008&productId-208703007,https://images.asos-media.com/products/kaiia-exclusive-double-layered-slinky-mesh-one-shoulder-scarf-detail-top-co-ord-in-mono-polka-dot/208703007-1-black,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_208703007.jpg,800,1021,b44b1c13e5638fe1,2025-10-22T13:55:39
asos,209408526,polka_dot,ASOS DESIGN satin angel sleeve drop waist mini dress in polka dot,asos-design/asos-design-satin-angel-sleeve-drop-waist-mini-dress-in-polka-dot/prd/209408526#colourWayId-209408529,https://images.asos-media.com/products/asos-design-satin-angel-sleeve-drop-waist-mini-dress-in-polka-dot/209408526-1-ecrupolkadot,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209408526.jpg,800,1021,e58e326d9a924cb3,2025-10-22T13:55:40
asos,208912046,polka_dot,ASOS DESIGN tie shoulder cinched cami in polka dot,asos-design/asos-design-tie-shoulder-cinched-cami-in-polka-dot/prd/208912046#colourWayId-208912055,https://images.asos-media.com/products/asos-design-tie-shoulder-cinched-cami-in-polka-dot/208912046-1-polkadot,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_208912046.jpg,800,1021,e584c6de98399687,2025-10-22T13:55:41
asos,209017614,polka_dot,Topshop polka dot tights in black,topshop/topshop-polka-dot-tights-in-black/prd/209017614#colourWayId-209017618,https://images.asos-media.com/products/topshop-polka-dot-tights-in-black/209017614-1-black,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209017614.jpg,800,1020,b4b43333926d96c9,2025-10-22T13:55:42
asos,209430024,polka_dot,ASOS DESIGN oversized shirt with pleat in black polka dot,asos-design/asos-design-oversized-shirt-with-pleat-in-black-polka-dot/prd/209430024#colourWayId-209430029,https://images.asos-media.com/products/asos-design-oversized-shirt-with-pleat-in-black-polka-dot/209430024-1-blackpolkadot,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops/polka_dot/asos_209430024.jpg,800,1021,e1969a9cc94ccde4,2025-10-22T13:55:43
